track_id           | title                        | genre            | distrokid        | soundcloud      
-------------------+------------------------------+------------------+------------------+-----------------
sc-2156124816      | Shadows                      | Triphop          | uploaded(test)   | uploaded(test)  
sc-2154053472      | Stoned                       | Reggae           | uploaded(test)   | uploaded(test)  
sc-2156234616      | Rise of the Serpent          | Reggae           | uploaded(test)   | uploaded(test)  
sc-2210914043      | Falling Like Fire            | Reggae           | uploaded(test)   | uploaded(test)  
sc-2154080697      | Purple Ocean                 | Technology       | uploaded(test)   | uploaded(test)  
sc-2209319048      | Ancestral                    | Dance & EDM      | uploaded(test)   | uploaded(test)  
sc-2165561472      | Elisa                        | Reggae           | uploaded(test)   | uploaded(test)  
sc-2213425913      | So Stoned                    | Reggae           | uploaded(test)   | uploaded(test)  
sc-2155582671      | Alma Eterna                  | Electronic       | uploaded(test)   | uploaded(test)  
sc-2179862535      | 🎶 “Black Mamba”              | Soundtrack       | uploaded(test)   | uploaded(test)  
sc-2258528312      | Paso pensando todos los d... | Reggae           | uploaded(test)   | uploaded(test)  
sc-2257601267      | Bolita                       | Reggae           | uploaded(test)   | uploaded(test)  
sc-2262576077      | Respirar despacio            | Reggae           | uploaded(test)   | uploaded(test)  
sc-2262579797      | Si me queria..               | Reggae           | uploaded(test)   | uploaded(test)  
sc-2259865994      | # Even If You’re With Som... | World            | uploaded(test)   | uploaded(test)  
sc-2259904610      | im Licht der Zeit            | Reggae           | uploaded(test)   | uploaded(test)  
sc-2261501291      | Luz                          | Reggae           | uploaded(test)   | uploaded(test)  
sc-2260026122      | Jenny                        | World            | uploaded(test)   | uploaded(test)  
sc-2259866000      | # Even If You’re With Som... | Rock             | uploaded(test)   | uploaded(test)  
sc-2259865991      | # Even If You’re With Som... | R&B              | uploaded(test)   | uploaded(test)  
sc-2275896560      | Esbeydi                      | Reggae           | uploaded(test)   | uploaded(test)  
sc-2233813502      | 🌺 “Venus Vibez” 🌺            | Reggae           | pending(test)    | uploaded(test)  
sc-2156336304      | Fire                         | R&B              | pending(test)    | uploaded(test)  
sc-2156113743      | “Light Upon"                 | Reggae           | pending(test)    | uploaded(test)  
sc-2188424619      | My soul                      | Reggae Tech      | pending(test)    | uploaded(test)  
sc-2182529131      | Estás Cerca                 | reggae           | pending(test)    | uploaded(test)  
sc-2179837407      | “Belén & Wero”              | Reggae           | pending(test)    | uploaded(test)  
sc-2156111223      | "The River"                  | Reggae           | pending(test)    | uploaded(test)  
sc-2154089109      | Chains                       | Hip-hop & Rap    | pending(test)    | uploaded(test)  
sc-2178668000      | 🎶  Reggae in the Code 🎶      | Reggae           | pending(test)    | uploaded(test)  
sc-2156109369      | Caffeine                     | Reggae           | pending(test)    | uploaded(test)  
sc-2179862543      | 🎶 “Black Mamba”              | Experimental ... | pending(test)    | uploaded(test)  
sc-2186705133      | ☕ “Café del Alma”           | Reggae           | pending(test)    | uploaded(test)  
sc-2166189720      | Vale                         | Reggae           | pending(test)    | uploaded(test)  
sc-2154119532      | Vibration                    | Reggae           | pending(test)    | uploaded(test)  
sc-2168573868      | Roots of the Legend          | Reggae           | pending(test)    | uploaded(test)  
sc-2179862547      | 🎶 “Black Mamba”              | Experimental ... | pending(test)    | uploaded(test)  
sc-2154236793      | Cuando No Estás Cerca        | Experimental ... | pending(test)    | uploaded(test)  
sc-2188734903      | Maty Alvarado                | Reggae           | pending(test)    | uploaded(test)  
sc-2233863764      | Mary Jane                    | Reggae           | pending(test)    | uploaded(test)  
sc-2154526203      | Bones                        | Hip hop y Rap    | pending(test)    | uploaded(test)  
sc-2156042286      | Rise up                      | Reggae           | pending(test)    | uploaded(test)  
sc-2234596535      | Energia                      | Reggae           | pending(test)    | uploaded(test)  
sc-2186902493      | Ahmed Qalbi                  | Reggae           | pending(test)    | uploaded(test)  
sc-2154196161      | Oh Honey, Don’t Do           | Reggae           | pending(test)    | uploaded(test)  
sc-2211122885      | 🕯️ “Entre el Humo y la Ll... | Reggae           | pending(test)    | uploaded(test)  
sc-2177684778      | Liliana                      | Experimental ... | pending(test)    | uploaded(test)  
sc-2155895595      | warp                         | Hip Hop          | pending(test)    | uploaded(test)  
sc-2186902498      | Ahmed Qalbi                  | World            | pending(test)    | uploaded(test)  
sc-2181724551      | 🎵 “Carlos, Regresa al Cam... | Reggae           | pending(test)    | uploaded(test)  
sc-2154119607      | The Energy                   | World            | pending(test)    | uploaded(test)  
sc-2235458369      | La Vida es Mejor             | Reggae           | pending(test)    | uploaded(test)  
sc-2181724555      | 🎵 “Carlos, Regresa al Cam... | Experimental ... | pending(test)    | uploaded(test)  
sc-2166393231      | Manuela en Polígonos de Luz | Reggae           | pending(test)    | uploaded(test)  
sc-2182172003      | rosa                         | Experimental ... | pending(test)    | uploaded(test)  
sc-2155340127      | Rise of the Drum             | Experimental ... | pending(test)    | uploaded(test)  
sc-2206412475      | Codigo Infinito...           | Reggae           | pending(test)    | uploaded(test)  
sc-2187231183      | Prisi Perez                  | R&B              | pending(test)    | uploaded(test)  
sc-2180508859      | crawls across                | Pop              | pending(test)    | uploaded(test)  
sc-2178662604      | Tu Sí, ya viene             | Experimental ... | pending(test)    | uploaded(test)  
sc-2182674003      | Mari                         | Experimental ... | pending(test)    | uploaded(test)  
sc-2179862555      | 🎶 “Black Mamba”              | Metal            | pending(test)    | uploaded(test)  
sc-2166023034      | Vale                         | Reggae           | pending(test)    | uploaded(test)  
sc-2233835531      | Ganja Love                   | Reggae           | pending(test)    | uploaded(test)  
sc-2254887908      | David Newton l               | R&B              | pending(test)    | uploaded(test)  
sc-2233817636      | “Afterglow” 🎶                | Reggae           | pending(test)    | uploaded(test)  
sc-2155917768      | warp                         | R&B              | pending(test)    | uploaded(test)  
sc-2155917759      | This ain’t just music…       | Experimental ... | pending(test)    | uploaded(test)  
sc-2210837726      | 🎵 “Fuego en los Ojos”        | World            | pending(test)    | uploaded(test)  
sc-2154092484      | Life (Remix)                 | R&B #HipHop #Rap | pending(test)    | uploaded(test)  
sc-2156170041      | Ritual  (Remix)              | Experimental ... | pending(test)    | uploaded(test)  
sc-2157623619      | Madman in a Pop-Up Camper    | Electronic       | pending(test)    | uploaded(test)  
sc-2154194184      | Sea Blue                     | Experimental ... | pending(test)    | uploaded(test)  
sc-2218460957      | Oscar Yeah…                  | Hip Hop          | pending(test)    | uploaded(test)  
sc-2154234531      | Valley                       | Experimental ... | pending(test)    | uploaded(test)  
sc-2209305965      | Ciudad de Furia y Lluvia ... | Reggae           | pending(test)    | uploaded(test)  
sc-2156108733      | One sock                     | Experimental ... | pending(test)    | uploaded(test)  
sc-2209878434      | Gravity                      | R&B              | pending(test)    | uploaded(test)  
sc-2180508183      | 🖤my soul                     | Experimental ... | pending(test)    | uploaded(test)  
sc-2180508863      | shadow crawls                | Reggae           | pending(test)    | uploaded(test)  
sc-2237175560      | Adoracion                    | R&B              | pending(test)    | uploaded(test)  
